Test Method=tm1(), Test Class=CTest [JUNIT3], References={CTest.c:C, var3:int, var1:int, var1:int, CTest.c:C, C.FLAG:UNKNOWNP.UNKNOWN, C.FLAG:UNKNOWNP.UNKNOWN, var1:int, var3:int, var1:int, var3:int, CTest.c:C, CTest.c:C, }, Invocations={CFactory.makeC.makeC():void, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, C.m1(java.lang.StringBuffer, boolean, UNKNOWNP.UNKNOWN):int, C.m2(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, C.m3(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, }, Assertions={fail, }
id=3824 rank=34 score=2.000 fqn=org.exist.xmldb.MultiDBTest heuristics={A:1.000, R:1.000}
id=4451 rank=34 score=2.000 fqn=tests.org.ntropa.build.DirectoryMonitorTest heuristics={A:1.000, R:1.000}
id=7534 rank=34 score=2.000 fqn=com.kneobase.driver.iterator.KIteratorTest heuristics={A:1.000, R:1.000}
id=13794 rank=34 score=2.000 fqn=net.sf.jameleon.plugin.jiffie.IEFunctionTagTest heuristics={A:1.000, R:1.000}
id=14659 rank=34 score=2.000 fqn=com.zimbra.cs.index.UnitTests heuristics={A:1.000, R:1.000}
id=2638 rank=34 score=2.000 fqn=fitnesse.wikitext.widgets.WikiWordWidgetTest heuristics={A:1.000, R:1.000}
id=3440 rank=34 score=2.000 fqn=org.exist.xquery.test.OpNumericTest heuristics={A:1.000, R:1.000}
id=3905 rank=34 score=2.000 fqn=org.exist.storage.BFileOverflowTest heuristics={A:1.000, R:1.000}
id=5531 rank=34 score=2.000 fqn=org.joda.time.TestWeeks heuristics={A:1.000, R:1.000}
id=6600 rank=34 score=2.000 fqn=com.amazon.carbonado.repo.indexed.TestCapabilities heuristics={A:1.000, R:1.000}
id=8172 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.builder.impl.TestJellyBuilder heuristics={A:1.000, R:1.000}
id=8243 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.layout.TestCellConstraints heuristics={A:1.000, R:1.000}
id=9412 rank=34 score=2.000 fqn=org.acegisecurity.acl.basic.jdbc.JdbcDaoImplTests heuristics={A:1.000, R:1.000}
id=14325 rank=34 score=2.000 fqn=net.sourceforge.processdash.util.TimeNumberFormatTest heuristics={A:1.000, R:1.000}
id=10165 rank=34 score=2.000 fqn=net.sf.fairdj.tracks.TestAlbum heuristics={A:1.000, R:1.000}
id=11527 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.sampleproject.connectfour.PlayingStandTest heuristics={A:1.000, R:1.000}
id=3052 rank=34 score=2.000 fqn=pluginTests.JavaParserComparisonTest heuristics={A:1.000, R:1.000}
id=3858 rank=34 score=2.000 fqn=org.exist.dom.BasicNodeSetTest heuristics={A:1.000, R:1.000}
